Country,Year,Rank,Total,Percentile,Decision,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Personal Safety,Environmental Quality,Tolerance and Inclusion,Press Freedom Index,Tolerance for immigrants,Discrimination and violence against minorities
Portugal,2014,162nd,33.1,9,Sustainable,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,1.3,1.6,2.3,1.7,7.9,2.3
Slovenia,2014,163rd,32.6,8.4,Sustainable,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,0.7,1.6,3.1,2,5.7,3.3
Belgium,2014,164th,32,7.9,Sustainable,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,1.2,1.4,2.6,1.3,7.3,4.1
Germany,2014,165th,30.6,7.3,Sustainable,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,1,0.9,3.2,1,7.4,4.3
Netherlands,2014,166th,28.6,6.7,Sustainable,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,1,1,1.8,0.6,8.1,4.1
Austria,2014,167th,28.5,6.2,Sustainable,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,0.7,1,3,0.9,6.9,4.3
Canada,2014,168th,27.4,5.6,Sustainable,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3,0.8,2,1.5,1.3,8.7,3.1
Australia,2014,169th,26.3,5,Sustainable,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,1.1,1.6,2.1,1.5,8.7,3.6
Ireland,2014,170th,26.1,4.5,Sustainable,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2,1,1.6,1.3,1,8.1,1.6
Iceland,2014,171st,25.9,3.9,Sustainable,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9,0.6,1.8,1,0.8,7.8,1
Luxembourg,2014,172nd,24.6,3.3,Sustainable,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9,5.4,0.8,2.8,0.7,6,2.8
New Zealand,2014,173rd,24.1,2.8,Sustainable,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,1.2,1.6,1.7,0.8,8.7,3.5
Switzerland,2014,174th,23.3,2.2,Sustainable,1.7,1,3.5,2.2,2.4,2.4,0.9,1.7,1.7,2.4,1.8,1.6,0.6,0.7,2.6,1,7,3.5
Norway,2014,175th,23,1.6,Sustainable,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5,0.7,1.2,2.9,0.7,7.4,3.6
Denmark,2014,176th,22.8,1.1,Sustainable,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9,0.7,1,2.3,0.7,7.5,3.4
Sweden,2014,177th,21.4,0.5,Sustainable,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3,0.6,0.8,2.3,0.9,7.3,1
Finland,2014,178th,18.7,0,Sustainable,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3,0.7,1.3,1.8,0.6,6.9,1.4
